time,NL10636,NL10639,NL10643
2011-01-01,31.107499999999998,37.79624999999999,
2011-01-02,40.54666666666667,37.19958333333333,
2011-01-03,70.26041666666667,71.27,
2011-01-04,51.97666666666667,55.514166666666675,
2011-01-05,37.38708333333333,42.71541666666667,
2011-01-06,40.59166666666667,46.3325,
2011-01-07,57.055416666666666,61.10999999999999,
2011-01-08,23.950833333333335,28.197916666666668,
2011-01-09,31.4175,34.6,
2011-01-10,54.870000000000005,58.38458333333333,
2011-01-11,36.69708333333333,39.67166666666666,
2011-01-12,48.249583333333334,52.973333333333336,
2011-01-13,44.160833333333336,44.48666666666666,
2011-01-14,28.416666666666668,31.160833333333333,
2011-01-15,23.957083333333333,27.94541666666667,
2011-01-16,21.940416666666668,24.27125,
2011-01-17,42.28,46.80833333333334,
2011-01-18,41.419999999999995,57.455000000000005,
2011-01-19,55.591818181818184,51.98541666666667,
2011-01-20,18.75,43.48124999999999,
2011-01-21,52.858181818181826,64.44208333333334,
2011-01-22,13.154545454545454,27.437083333333334,
2011-01-23,8.56409090909091,18.27958333333333,
2011-01-24,24.66090909090909,31.14333333333333,
2011-01-25,43.23181818181818,41.8525,
2011-01-26,54.28772727272727,59.053333333333335,
2011-01-27,20.486818181818183,30.684583333333336,
2011-01-28,34.43681818181818,49.06125,
2011-01-29,31.17,36.630833333333335,
2011-01-30,15.984090909090908,23.189999999999998,
2011-01-31,23.292727272727276,35.818636363636365,
2011-02-01,63.55136363636364,60.72875,
2011-02-02,50.645454545454534,52.99041666666667,
2011-02-03,53.49545454545455,52.98,
2011-02-04,20.393181818181816,22.93083333333333,
2011-02-05,8.856818181818182,10.082083333333332,
2011-02-06,9.665,10.415416666666667,
2011-02-07,28.230909090909094,27.286666666666665,
2011-02-08,62.78863636363636,66.77708333333334,
2011-02-09,76.80958333333332,77.11999999999999,
2011-02-10,57.05083333333332,57.14541666666668,
2011-02-11,55.904583333333335,56.017500000000005,
2011-02-12,35.3295652173913,38.24333333333333,
2011-02-13,27.32416666666667,30.810833333333335,
2011-02-14,54.342083333333335,57.587916666666665,
2011-02-15,48.57708333333333,52.594166666666666,
2011-02-16,50.14416666666667,55.03333333333333,
2011-02-17,34.34583333333333,45.26874999999999,
2011-02-18,29.998333333333335,41.47708333333333,
2011-02-19,26.98708333333333,33.96666666666667,
2011-02-20,10.885416666666666,16.365833333333335,
2011-02-21,31.931250000000002,40.27875,
2011-02-22,48.684583333333336,53.47833333333333,
2011-02-23,55.135,58.42583333333334,
2011-02-24,52.63249999999999,55.62708333333334,
2011-02-25,53.17791666666667,57.22434782608695,
2011-02-26,26.787499999999998,30.980416666666667,
2011-02-27,12.615833333333333,16.28,
2011-02-28,26.168333333333333,32.19291666666667,
2011-03-01,23.53125,29.68958333333333,
2011-03-02,24.98,35.22958333333333,
2011-03-03,28.06458333333333,35.290416666666665,
2011-03-04,34.0325,42.904583333333335,
2011-03-05,29.43826086956522,41.064166666666665,
2011-03-06,,20.944999999999997,
2011-03-07,46.42521739130434,55.3325,
2011-03-08,55.98749999999999,61.7925,
2011-03-09,42.50666666666667,42.59916666666667,
2011-03-10,28.727500000000003,31.132500000000004,
2011-03-11,49.82083333333333,50.95708333333334,
2011-03-12,46.44166666666666,53.25333333333333,
2011-03-13,20.817083333333333,27.890833333333337,
2011-03-14,38.12,49.65416666666667,
2011-03-15,19.679166666666667,33.961666666666666,
2011-03-16,15.6425,30.18083333333334,
2011-03-17,24.438333333333333,28.40565217391304,
2011-03-18,37.32625,40.66583333333333,
2011-03-19,21.349166666666665,33.034166666666664,
2011-03-20,52.86833333333333,59.840833333333336,
2011-03-21,71.7975,78.84416666666667,
2011-03-22,56.51500000000001,70.1475,
2011-03-23,33.41291666666667,40.72291666666667,
2011-03-24,37.84708333333333,47.47958333333333,
2011-03-25,27.985,36.66166666666667,
2011-03-26,19.455833333333334,31.41875,
2011-03-27,13.014583333333334,21.923750000000002,
2011-03-28,22.17458333333333,38.145833333333336,
2011-03-29,57.02041666666667,74.2675,
2011-03-30,62.225,69.57166666666667,
2011-03-31,27.643333333333334,31.926521739130433,
2011-04-01,31.44083333333333,30.88315789473684,
2011-04-02,26.913333333333338,30.140833333333337,
2011-04-03,33.995,30.64625,
2011-04-04,34.92666666666667,35.628750000000004,
2011-04-05,34.832173913043476,36.40708333333333,
2011-04-06,38.64125,41.56791666666667,
2011-04-07,48.558749999999996,48.44869565217391,
2011-04-08,41.615,45.1,
2011-04-09,16.742083333333333,23.914583333333336,
2011-04-10,13.369166666666667,22.087500000000002,
2011-04-11,50.83625000000001,56.8475,
2011-04-12,17.533333333333335,21.681250000000002,
2011-04-13,41.0625,41.31666666666667,
2011-04-14,65.7475,76.86761904761904,
2011-04-15,46.74666666666667,62.069583333333334,
2011-04-16,47.86708333333333,52.520416666666655,
2011-04-17,17.709999999999997,23.66875,
2011-04-18,35.998333333333335,52.182916666666664,
2011-04-19,46.67083333333333,63.239583333333336,
2011-04-20,46.49791666666667,76.17625,
2011-04-21,64.8575,81.63666666666667,
2011-04-22,46.846666666666664,72.37458333333333,
2011-04-23,20.596666666666668,40.33958333333333,
2011-04-24,18.49625,29.142083333333332,
2011-04-25,13.5575,21.800416666666667,
2011-04-26,17.62291666666667,29.4075,
2011-04-27,6.2512500000000015,19.645,
2011-04-28,18.783333333333335,34.70041666666666,
2011-04-29,18.773750000000003,33.92166666666667,
2011-04-30,7.766249999999999,15.566250000000002,
2011-05-01,6.189583333333334,11.717916666666667,
2011-05-02,11.86625,21.070833333333333,
