time,NL10636,NL10639,NL10643
2011-01-01,,26.195652173913043,
2011-01-02,,36.97208333333333,
2011-01-03,,13.420000000000002,
2011-01-04,,11.667916666666665,
2011-01-05,,20.120833333333334,
2011-01-06,,8.349166666666667,
2011-01-07,,5.685,
2011-01-08,,31.515416666666667,
2011-01-09,,27.04041666666667,
2011-01-10,,5.97625,
2011-01-11,,19.752083333333335,
2011-01-12,,16.4475,
2011-01-13,,12.436666666666667,
2011-01-14,,32.08416666666667,
2011-01-15,,39.91708333333333,
2011-01-16,,35.60583333333333,
2011-01-17,,10.671666666666667,
2011-01-18,,16.75833333333333,
2011-01-19,,26.097916666666666,
2011-01-20,,39.41166666666667,
2011-01-21,,9.389583333333333,
2011-01-22,,45.01624999999999,
2011-01-23,,52.90708333333333,
2011-01-24,,42.979166666666664,
2011-01-25,,31.79375,
2011-01-26,,21.235882352941175,
2011-01-27,,31.26125,
2011-01-28,,16.219583333333336,
2011-01-29,,11.185416666666667,
2011-01-30,,36.84708333333334,
2011-01-31,,35.17809523809524,
2011-02-01,,2.5825,
2011-02-02,,3.7104166666666667,
2011-02-03,,12.107500000000002,
2011-02-04,,50.64666666666667,
2011-02-05,,68.9575,
2011-02-06,,68.75999999999999,
2011-02-07,,48.829583333333325,
2011-02-08,,23.6675,
2011-02-09,,2.8433333333333337,
2011-02-10,,2.34875,
2011-02-11,,15.728333333333333,
2011-02-12,,24.80458333333333,
2011-02-13,,30.286666666666672,
2011-02-14,,9.063333333333333,
2011-02-15,,15.324999999999998,
2011-02-16,,17.872083333333332,
2011-02-17,,13.951250000000002,
2011-02-18,,14.520416666666668,11.607692307692307
2011-02-19,,9.941250000000002,14.907916666666665
2011-02-20,,38.83958333333333,44.54304347826088
2011-02-21,,29.874166666666667,39.029999999999994
2011-02-22,,16.900000000000002,25.373846153846156
2011-02-23,,13.487500000000002,19.164347826086956
2011-02-24,,7.775833333333334,8.350909090909092
2011-02-25,,2.0779166666666664,6.662173913043477
2011-02-26,,27.8025,36.22541666666667
2011-02-27,,61.98374999999999,69.22000000000001
2011-02-28,,14.677083333333334,17.791304347826088
2011-03-01,,26.4225,30.152916666666666
2011-03-02,,31.06083333333333,37.60478260869565
2011-03-03,,26.700833333333335,30.748695652173915
2011-03-04,,20.028333333333336,23.981428571428573
2011-03-05,,35.21208333333333,44.54826086956521
2011-03-06,,60.61333333333334,67.40666666666667
2011-03-07,,26.17625,34.72695652173913
2011-03-08,,20.493750000000002,30.58791666666666
2011-03-09,,36.45583333333334,42.935833333333335
2011-03-10,,41.76375,47.66208333333333
2011-03-11,,34.49208333333333,43.71583333333333
2011-03-12,,20.912499999999998,31.751666666666665
2011-03-13,,41.310833333333335,54.625833333333325
2011-03-14,,10.703333333333333,19.945833333333336
2011-03-15,,26.657083333333333,35.75125
2011-03-16,,37.702916666666674,48.82333333333333
2011-03-17,,27.19875,32.72
2011-03-18,,26.595416666666665,33.32791666666666
2011-03-19,,48.397083333333335,60.40625
2011-03-20,,24.817916666666665,34.78208333333333
2011-03-21,,18.892083333333336,
2011-03-22,,23.3,
2011-03-23,,31.268333333333334,
2011-03-24,,33.29416666666666,
2011-03-25,,37.68708333333333,
2011-03-26,,48.71958333333334,
2011-03-27,,57.11291666666667,
2011-03-28,,48.775416666666665,
2011-03-29,,22.060000000000002,
2011-03-30,,12.349583333333333,
2011-03-31,,30.765416666666663,
2011-04-01,,18.63416666666667,21.606428571428573
2011-04-02,,27.374583333333334,36.51833333333334
2011-04-03,,34.392916666666665,41.94166666666667
2011-04-04,,43.657916666666665,54.11750000000001
2011-04-05,,43.161249999999995,55.659166666666664
2011-04-06,,26.2825,37.937916666666666
2011-04-07,,31.782083333333333,41.09333333333334
2011-04-08,,39.31708333333333,48.871249999999996
2011-04-09,,58.097500000000004,66.69375000000001
2011-04-10,,59.90625,67.12666666666667
2011-04-11,,34.0075,43.68541666666667
2011-04-12,,67.73666666666666,78.43291666666666
2011-04-13,,48.703333333333326,58.69833333333332
2011-04-14,,15.003809523809522,25.545416666666668
2011-04-15,,38.802608695652175,55.86333333333332
2011-04-16,,40.61333333333334,49.23083333333333
2011-04-17,,65.00833333333334,66.02458333333334
2011-04-18,,53.831250000000004,67.75458333333334
2011-04-19,,56.0875,77.34583333333333
2011-04-20,,61.36875,80.385
2011-04-21,,61.25083333333333,87.33375000000001
2011-04-22,,65.76291666666667,97.12
2011-04-23,,95.81333333333333,110.95458333333333
2011-04-24,,99.78125,64.46
2011-04-25,,96.67166666666667,108.55866666666667
2011-04-26,,74.55708333333332,51.665
2011-04-27,,74.77625,83.50823529411765
2011-04-28,,58.99666666666667,71.67541666666666
2011-04-29,,72.13958333333333,85.11041666666667
2011-04-30,,89.11791666666666,97.03541666666666
2011-05-01,,86.73583333333333,92.72208333333333
2011-05-02,,72.89291666666666,79.84541666666667
2011-05-03,,70.45291666666667,78.54875
2011-05-04,,62.685,73.62375
2011-05-05,,48.91958333333334,66.24125
2011-05-06,,53.44333333333333,79.70041666666667
2011-05-07,,81.83583333333334,104.80541666666666
2011-05-08,,90.47874999999999,105.34416666666665
2011-05-09,,39.49,52.25875
2011-05-10,,45.57458333333333,57.294999999999995
2011-05-11,,55.17541666666667,62.67625
2011-05-12,,44.580000000000005,54.9025
2011-05-13,,44.760416666666664,56.75875
2011-05-14,,56.63333333333333,68.05708333333332
2011-05-15,,74.36166666666666,78.95166666666667
2011-05-16,,36.7025,43.798750000000005
2011-05-17,,35.705,47.67625
2011-05-18,,21.482499999999998,34.24875
