date,O3
2011-01-01,26.195652173913043
2011-01-02,36.97208333333333
2011-01-03,13.420000000000002
2011-01-04,11.667916666666665
2011-01-05,20.120833333333334
2011-01-06,8.349166666666667
2011-01-07,5.685
2011-01-08,31.515416666666667
2011-01-09,27.04041666666667
2011-01-10,5.97625
2011-01-11,19.752083333333335
2011-01-12,16.4475
2011-01-13,12.436666666666667
2011-01-14,32.08416666666667
2011-01-15,39.91708333333333
2011-01-16,35.60583333333333
2011-01-17,10.671666666666667
2011-01-18,16.75833333333333
2011-01-19,26.097916666666666
2011-01-20,39.41166666666667
2011-01-21,9.389583333333333
2011-01-22,45.01624999999999
2011-01-23,52.90708333333333
2011-01-24,42.979166666666664
2011-01-25,31.79375
2011-01-26,21.235882352941175
2011-01-27,31.26125
2011-01-28,16.219583333333336
2011-01-29,11.185416666666667
2011-01-30,36.84708333333334
2011-01-31,35.17809523809524
2011-02-01,2.5825
2011-02-02,3.7104166666666667
2011-02-03,12.107500000000002
2011-02-04,50.64666666666667
2011-02-05,68.9575
2011-02-06,68.75999999999999
2011-02-07,48.829583333333325
2011-02-08,23.6675
2011-02-09,2.8433333333333337
2011-02-10,2.34875
2011-02-11,15.728333333333333
2011-02-12,24.80458333333333
2011-02-13,30.286666666666672
2011-02-14,9.063333333333333
2011-02-15,15.324999999999998
2011-02-16,17.872083333333332
2011-02-17,13.951250000000002
2011-02-18,13.064054487179487
2011-02-19,12.424583333333334
2011-02-20,41.6913134057971
2011-02-21,34.452083333333334
2011-02-22,21.13692307692308
2011-02-23,16.32592391304348
2011-02-24,8.063371212121213
2011-02-25,4.370045289855072
2011-02-26,32.013958333333335
2011-02-27,65.601875
2011-02-28,16.23419384057971
2011-03-01,28.287708333333335
2011-03-02,34.33280797101449
2011-03-03,28.724764492753625
2011-03-04,22.004880952380955
2011-03-05,39.880172101449276
2011-03-06,64.01
2011-03-07,30.451603260869568
2011-03-08,25.54083333333333
2011-03-09,39.69583333333334
2011-03-10,44.712916666666665
2011-03-11,39.10395833333333
2011-03-12,26.33208333333333
2011-03-13,47.968333333333334
2011-03-14,15.324583333333335
2011-03-15,31.204166666666666
2011-03-16,43.263125
2011-03-17,29.959375
2011-03-18,29.961666666666662
2011-03-19,54.40166666666667
2011-03-20,29.799999999999997
2011-03-21,18.892083333333336
2011-03-22,23.3
2011-03-23,31.268333333333334
2011-03-24,33.29416666666666
2011-03-25,37.68708333333333
2011-03-26,48.71958333333334
2011-03-27,57.11291666666667
2011-03-28,48.775416666666665
2011-03-29,22.060000000000002
2011-03-30,12.349583333333333
2011-03-31,30.765416666666663
2011-04-01,20.12029761904762
2011-04-02,31.946458333333336
2011-04-03,38.16729166666667
2011-04-04,48.887708333333336
2011-04-05,49.41020833333333
2011-04-06,32.11020833333333
2011-04-07,36.43770833333333
2011-04-08,44.094166666666666
2011-04-09,62.39562500000001
2011-04-10,63.51645833333333
2011-04-11,38.84645833333333
2011-04-12,73.08479166666666
2011-04-13,53.70083333333332
2011-04-14,20.274613095238095
2011-04-15,47.33297101449275
2011-04-16,44.92208333333333
2011-04-17,65.51645833333333
2011-04-18,60.79291666666667
2011-04-19,66.71666666666667
2011-04-20,70.876875
2011-04-21,74.29229166666667
2011-04-22,81.44145833333334
2011-04-23,103.38395833333334
2011-04-24,82.12062499999999
2011-04-25,102.61516666666667
2011-04-26,63.111041666666665
2011-04-27,79.14224264705882
2011-04-28,65.33604166666666
2011-04-29,78.625
2011-04-30,93.07666666666665
2011-05-01,89.72895833333334
2011-05-02,76.36916666666667
2011-05-03,74.50083333333333
2011-05-04,68.154375
2011-05-05,57.580416666666665
2011-05-06,66.571875
2011-05-07,93.320625
2011-05-08,97.91145833333331
2011-05-09,45.874375
2011-05-10,51.43479166666666
2011-05-11,58.92583333333334
2011-05-12,49.74125000000001
2011-05-13,50.75958333333333
2011-05-14,62.34520833333333
2011-05-15,76.65666666666667
2011-05-16,40.250625
2011-05-17,41.690625
2011-05-18,27.865625
2011-05-19,48.418958333333336
2011-05-20,50.56625
2011-05-21,55.405833333333334
2011-05-22,54.281875
2011-05-23,52.2225
2011-05-24,53.981458333333336
2011-05-25,51.918125
2011-05-26,51.060833333333335
2011-05-27,64.83312500000001
2011-05-28,50.78270833333333
2011-05-29,57.36187500000001
2011-05-30,66.294375
2011-05-31,59.521874999999994
2011-06-01,54.94440217391305
2011-06-02,69.45604166666666
2011-06-03,57.32729166666667
2011-06-04,66.15708333333333
2011-06-05,59.11354166666667
2011-06-06,43.315715579710144
2011-06-07,56.996739130434776
2011-06-08,64.1075
2011-06-09,55.577708333333334
2011-06-10,35.789375
2011-06-11,49.46479166666666
2011-06-12,62.30395833333334
2011-06-13,49.13333333333334
2011-06-14,58.47833333333334
2011-06-15,36.359791666666666
2011-06-16,27.44625
2011-06-17,44.81916666666666
2011-06-18,53.84895833333333
2011-06-19,52.093125
2011-06-20,35.724375
2011-06-21,35.892291666666665
2011-06-22,43.8675
2011-06-23,51.80875
2011-06-24,54.511250000000004
2011-06-25,32.32625
2011-06-26,34.739583333333336
2011-06-27,68.93875
2011-06-28,85.5420643939394
2011-06-29,56.920922619047616
2011-06-30,53.51982954545455
2011-07-01,49.37657051282051
2011-07-02,50.915
2011-07-03,59.09291666666667
2011-07-04,66.74625
2011-07-05,74.365
2011-07-06,62.53541666666666
2011-07-07,43.526250000000005
2011-07-08,50.10874999999999
2011-07-09,59.367916666666666
2011-07-10,59.74
2011-07-11,53.47416666666667
2011-07-12,58.81999999999999
2011-07-13,47.964434523809516
2011-07-14,54.786875
